date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2014-01-19,0.583333333333,Orlando Magic,Boston Celtics,1,2-2,-2,two point jumper,True,17,True,True
2014-01-19,1.81666666667,Orlando Magic,Boston Celtics,1,4-4,-2,two point shot,True,8,False,True
2014-01-19,13.4333333333,Orlando Magic,Boston Celtics,2,26-23,-5,layup,True,0,True,True
2014-01-19,16.1333333333,Orlando Magic,Boston Celtics,2,33-31,-4,two point jumper,True,1,False,True
2014-01-19,21.8,Orlando Magic,Boston Celtics,2,44-46,0,layup,True,0,False,True
2014-01-19,24.2166666667,Orlando Magic,Boston Celtics,3,46-55,7,layup,True,0,True,True
2014-01-19,25.3,Orlando Magic,Boston Celtics,3,46-55,7,two point jumper,True,20,False,True
2014-01-19,36.7,Orlando Magic,Boston Celtics,4,66-66,-2,two point jumper,True,16,False,True
2014-01-19,37.7666666667,Orlando Magic,Boston Celtics,4,66-67,-1,layup,True,0,False,True
2014-01-19,38.3166666667,Orlando Magic,Boston Celtics,4,66-67,-1,two point jumper,True,1,False,True
2014-01-19,38.3333333333,Orlando Magic,Boston Celtics,4,66-69,1,layup,True,0,True,True
2014-01-19,41.5,Orlando Magic,Boston Celtics,4,77-76,-3,two point jumper,True,5,True,True
2014-01-19,41.5,Orlando Magic,Boston Celtics,4,77-77,-1,free throw,True,15,True,True
2014-01-19,42.85,Orlando Magic,Boston Celtics,4,79-80,-1,two point shot,True,1,True,True
2014-01-19,43.85,Orlando Magic,Boston Celtics,4,81-84,1,layup,True,0,True,True
2014-01-19,45.3666666667,Orlando Magic,Boston Celtics,4,85-87,0,two point shot,True,6,True,True
2014-02-02,3.05,Orlando Magic,Boston Celtics,1,0-6,-8,two point shot,False,1,False,False
2014-02-02,6.85,Orlando Magic,Boston Celtics,1,12-12,-2,two point shot,False,1,False,False
2014-02-02,13.25,Orlando Magic,Boston Celtics,2,21-27,-8,two point shot,False,1,True,False
2014-02-02,14.7666666667,Orlando Magic,Boston Celtics,2,24-31,-8,free throw,False,15,True,False
2014-02-02,14.7666666667,Orlando Magic,Boston Celtics,2,25-31,-7,free throw,False,15,True,False
2014-02-02,15.3833333333,Orlando Magic,Boston Celtics,2,25-33,-10,layup,False,0,False,False
2014-02-02,16.9833333333,Orlando Magic,Boston Celtics,2,27-36,-11,two point shot,False,10,False,False
2014-02-02,18.7,Orlando Magic,Boston Celtics,2,29-40,-13,layup,False,0,False,False
2014-02-02,24.7666666667,Orlando Magic,Boston Celtics,3,47-56,-11,layup,False,0,True,False
2014-02-02,30.1333333333,Orlando Magic,Boston Celtics,3,57-61,-6,layup,False,0,True,False
2014-02-02,40.5666666667,Orlando Magic,Boston Celtics,4,74-77,-5,layup,False,0,True,False
2014-02-02,45.0166666667,Orlando Magic,Boston Celtics,4,82-86,-6,hook shot,False,4,False,False
2014-02-02,45.5,Orlando Magic,Boston Celtics,4,84-86,-4,layup,False,0,True,False
2014-02-02,47.2333333333,Orlando Magic,Boston Celtics,4,89-94,-8,three point jumper,False,27,True,False
2014-01-21,2.18333333333,Orlando Magic,Brooklyn Nets,1,1-4,-5,two point jumper,False,16,False,True
2014-01-21,5.81666666667,Orlando Magic,Brooklyn Nets,1,13-12,-1,layup,False,0,True,True
2014-01-21,6.7,Orlando Magic,Brooklyn Nets,1,13-14,-3,hook shot,False,1,False,True
2014-01-21,7.2,Orlando Magic,Brooklyn Nets,1,15-17,-4,two point jumper,False,4,True,True
2014-01-21,16.8833333333,Orlando Magic,Brooklyn Nets,2,34-36,-4,layup,False,0,True,True
2014-01-21,18.0333333333,Orlando Magic,Brooklyn Nets,2,34-36,-4,two point jumper,False,1,False,True
2014-01-21,22.15,Orlando Magic,Brooklyn Nets,2,40-42,-4,layup,False,0,True,True
2014-01-21,24.0,Orlando Magic,Brooklyn Nets,2,42-46,-7,three point jumper,False,71,False,True
2014-01-21,24.3166666667,Orlando Magic,Brooklyn Nets,3,42-46,-6,two point jumper,False,21,False,True
2014-01-21,28.6666666667,Orlando Magic,Brooklyn Nets,3,48-58,-12,two point shot,False,2,True,True
2014-12-06,1.86666666667,Orlando Magic,New York Knicks,1,4-2,0,two point jumper,False,21,False,True
2014-12-06,5.98333333333,Orlando Magic,New York Knicks,1,17-10,5,layup,False,0,False,True
2014-12-06,11.9,Orlando Magic,New York Knicks,1,31-28,2,free throw,False,15,True,True
2014-12-06,11.9,Orlando Magic,New York Knicks,1,31-28,2,free throw,False,15,False,True
2014-12-06,22.0833333333,Orlando Magic,New York Knicks,2,51-56,-6,free throw,False,15,False,True
2014-12-06,22.0833333333,Orlando Magic,New York Knicks,2,52-56,-5,free throw,False,15,True,True
2014-12-06,25.8166666667,Orlando Magic,New York Knicks,3,58-61,-5,layup,False,0,True,True
2014-12-06,28.75,Orlando Magic,New York Knicks,3,58-67,-11,two point shot,False,1,False,True
2014-12-06,32.4833333333,Orlando Magic,New York Knicks,3,63-74,-13,two point jumper,False,1,False,True
2014-12-23,0.5,Orlando Magic,New York Knicks,1,0-2,0,two point jumper,True,19,True,True
2014-12-23,8.21666666667,Orlando Magic,New York Knicks,1,22-21,-3,two point jumper,True,18,True,True
2014-12-23,8.6,Orlando Magic,New York Knicks,1,25-23,-4,layup,True,0,True,True
2014-12-23,9.58333333333,Orlando Magic,New York Knicks,1,29-23,-7,free throw,True,15,False,True
2014-12-23,9.58333333333,Orlando Magic,New York Knicks,1,29-23,-7,free throw,True,15,False,True
2014-12-23,22.5166666667,Orlando Magic,New York Knicks,2,59-39,-21,free throw,True,15,True,True
2014-12-23,22.5166666667,Orlando Magic,New York Knicks,2,59-39,-21,free throw,True,15,False,True
2014-12-23,26.75,Orlando Magic,New York Knicks,3,70-47,-25,layup,True,0,False,True
2014-12-23,26.8166666667,Orlando Magic,New York Knicks,3,70-49,-23,layup,True,0,True,True
2014-12-23,27.8666666667,Orlando Magic,New York Knicks,3,72-50,-24,two point jumper,True,1,False,True
2014-12-23,29.25,Orlando Magic,New York Knicks,3,74-57,-19,layup,True,0,True,True
2014-12-23,30.45,Orlando Magic,New York Knicks,3,74-57,-19,two point jumper,True,1,False,True
2014-12-23,31.4833333333,Orlando Magic,New York Knicks,3,74-64,-12,two point jumper,True,13,True,True
2014-12-23,31.4833333333,Orlando Magic,New York Knicks,3,74-65,-10,free throw,True,15,True,True
2014-12-23,31.9166666667,Orlando Magic,New York Knicks,3,74-65,-11,layup,True,0,False,True
2014-12-23,32.4833333333,Orlando Magic,New York Knicks,3,76-67,-11,two point jumper,True,21,True,True
2014-12-23,34.3333333333,Orlando Magic,New York Knicks,3,78-70,-10,two point jumper,True,15,False,True
2014-12-23,36.2166666667,Orlando Magic,New York Knicks,4,84-76,-10,two point jumper,True,20,False,True
2014-12-23,37.5833333333,Orlando Magic,New York Knicks,4,84-78,-8,two point jumper,True,19,False,True
2014-12-23,39.5166666667,Orlando Magic,New York Knicks,4,84-81,-5,layup,True,0,False,True
2014-12-23,41.2166666667,Orlando Magic,New York Knicks,4,89-85,-6,layup,True,0,True,True
2014-12-23,41.9166666667,Orlando Magic,New York Knicks,4,89-87,-4,two point jumper,True,20,True,True
2014-12-23,47.0166666667,Orlando Magic,New York Knicks,4,97-93,-6,two point jumper,True,15,False,True
2014-12-23,48.0,Orlando Magic,New York Knicks,4,103-98,-8,three point jumper,True,25,False,True
2014-11-27,4.73333333333,Orlando Magic,Philadelphia 76ers,1,11-10,-3,two point jumper,True,18,False,False
2014-11-27,6.45,Orlando Magic,Philadelphia 76ers,1,16-15,-3,two point jumper,True,16,False,False
2014-11-27,15.8166666667,Orlando Magic,Philadelphia 76ers,2,32-42,8,two point shot,True,21,True,False
2014-11-27,17.1333333333,Orlando Magic,Philadelphia 76ers,2,37-46,7,two point jumper,True,20,True,False
2014-11-27,17.7333333333,Orlando Magic,Philadelphia 76ers,2,37-48,9,layup,True,0,True,False
2014-11-27,18.2166666667,Orlando Magic,Philadelphia 76ers,2,37-49,11,free throw,True,15,True,False
2014-11-27,18.2166666667,Orlando Magic,Philadelphia 76ers,2,37-49,11,free throw,True,15,False,False
2014-11-27,19.0333333333,Orlando Magic,Philadelphia 76ers,2,40-53,11,two point shot,True,7,True,False
2014-11-27,20.05,Orlando Magic,Philadelphia 76ers,2,40-55,13,two point jumper,True,17,True,False
2014-11-27,25.5,Orlando Magic,Philadelphia 76ers,3,50-57,5,hook shot,True,7,False,False
2014-11-27,26.75,Orlando Magic,Philadelphia 76ers,3,52-59,5,two point jumper,True,16,True,False
2014-11-27,27.8166666667,Orlando Magic,Philadelphia 76ers,3,56-61,3,dunk,True,0,True,False
2014-11-27,28.3166666667,Orlando Magic,Philadelphia 76ers,3,56-61,3,two point jumper,True,18,False,False
2014-11-27,36.6833333333,Orlando Magic,Philadelphia 76ers,4,75-77,0,two point jumper,True,19,False,False
2014-11-27,37.1333333333,Orlando Magic,Philadelphia 76ers,4,75-79,2,two point jumper,True,15,True,False
2014-11-27,43.4166666667,Orlando Magic,Philadelphia 76ers,4,87-90,1,two point shot,True,12,False,False
2014-11-27,46.8833333333,Orlando Magic,Philadelphia 76ers,4,92-102,8,layup,True,0,True,False
2014-12-03,0.633333333333,Orlando Magic,Philadelphia 76ers,1,2-0,0,two point jumper,False,17,True,False
2014-12-03,3.0,Orlando Magic,Philadelphia 76ers,1,7-8,-3,two point jumper,False,1,False,False
2014-12-03,5.73333333333,Orlando Magic,Philadelphia 76ers,1,14-15,-3,two point jumper,False,17,True,False
