date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2006-12-16,4.63333333333,Milwaukee Bucks,Boston Celtics,1,7-9,-4,two point shot,False,1,True,False
2006-12-16,5.16666666667,Milwaukee Bucks,Boston Celtics,1,7-11,-6,two point jumper,False,16,False,False
2006-12-16,21.2833333333,Milwaukee Bucks,Boston Celtics,2,48-30,16,dunk,False,0,True,False
2006-12-16,29.3166666667,Milwaukee Bucks,Boston Celtics,3,62-48,12,hook shot,False,4,True,False
2006-12-16,39.0,Milwaukee Bucks,Boston Celtics,4,85-78,5,hook shot,False,4,True,False
2006-12-16,41.3166666667,Milwaukee Bucks,Boston Celtics,4,89-81,7,free throw,False,15,False,False
2006-12-16,41.3166666667,Milwaukee Bucks,Boston Celtics,4,90-81,8,free throw,False,15,True,False
2006-12-16,41.75,Milwaukee Bucks,Boston Celtics,4,92-81,9,dunk,False,0,True,False
2006-12-16,46.9666666667,Milwaukee Bucks,Boston Celtics,4,94-87,5,layup,False,0,False,False
2006-01-29,3.9,Milwaukee Bucks,Boston Celtics,1,0-4,2,hook shot,True,6,False,True
2006-01-29,19.8833333333,Milwaukee Bucks,Boston Celtics,2,28-27,-2,free throw,True,15,False,True
2006-01-29,19.8833333333,Milwaukee Bucks,Boston Celtics,2,28-28,-1,free throw,True,15,True,True
2006-01-29,21.4,Milwaukee Bucks,Boston Celtics,2,30-34,2,two point shot,True,1,True,True
2006-01-29,22.5833333333,Milwaukee Bucks,Boston Celtics,2,32-34,1,free throw,True,15,False,True
2006-01-29,22.5833333333,Milwaukee Bucks,Boston Celtics,2,32-35,2,free throw,True,15,True,True
2006-01-29,26.5833333333,Milwaukee Bucks,Boston Celtics,3,37-42,3,two point shot,True,1,True,True
2006-01-29,27.25,Milwaukee Bucks,Boston Celtics,3,37-42,3,layup,True,0,False,True
2006-01-29,28.45,Milwaukee Bucks,Boston Celtics,3,43-44,-1,layup,True,0,True,True
2006-01-29,30.4166666667,Milwaukee Bucks,Boston Celtics,3,47-46,-3,two point jumper,True,16,False,True
2006-01-29,34.3666666667,Milwaukee Bucks,Boston Celtics,3,53-54,0,free throw,True,15,True,True
2006-01-29,34.3666666667,Milwaukee Bucks,Boston Celtics,3,53-55,1,free throw,True,15,True,True
2006-01-29,44.6666666667,Milwaukee Bucks,Boston Celtics,4,72-74,1,free throw,True,15,False,True
2006-01-29,44.6666666667,Milwaukee Bucks,Boston Celtics,4,72-74,1,free throw,True,15,False,True
2006-03-10,1.46666666667,Milwaukee Bucks,Boston Celtics,1,2-0,0,hook shot,False,6,False,True
2006-03-10,3.68333333333,Milwaukee Bucks,Boston Celtics,1,4-5,-3,dunk,False,0,True,True
2006-03-10,7.91666666667,Milwaukee Bucks,Boston Celtics,1,13-12,-1,layup,False,0,True,True
2006-03-10,7.91666666667,Milwaukee Bucks,Boston Celtics,1,14-12,1,free throw,False,15,True,True
2006-03-10,9.71666666667,Milwaukee Bucks,Boston Celtics,1,14-16,-4,two point shot,False,8,False,True
2006-03-10,18.45,Milwaukee Bucks,Boston Celtics,2,30-37,-9,layup,False,0,True,True
2006-03-10,21.4833333333,Milwaukee Bucks,Boston Celtics,2,37-44,-9,hook shot,False,7,False,True
2006-03-10,23.2166666667,Milwaukee Bucks,Boston Celtics,2,39-44,-7,hook shot,False,7,True,True
2006-03-10,27.8833333333,Milwaukee Bucks,Boston Celtics,3,50-57,-9,hook shot,False,7,True,True
2006-03-10,29.3166666667,Milwaukee Bucks,Boston Celtics,3,54-59,-7,hook shot,False,6,True,True
2006-03-10,29.3166666667,Milwaukee Bucks,Boston Celtics,3,55-59,-5,free throw,False,15,True,True
2006-03-10,35.2333333333,Milwaukee Bucks,Boston Celtics,3,68-68,-2,dunk,False,0,True,True
2006-11-02,1.06666666667,Milwaukee Bucks,Brooklyn Nets,1,0-0,-2,hook shot,False,9,False,False
2006-11-02,17.2833333333,Milwaukee Bucks,Brooklyn Nets,2,29-36,-9,layup,False,0,True,False
2006-11-02,21.7333333333,Milwaukee Bucks,Brooklyn Nets,2,39-46,-9,hook shot,False,1,False,False
2006-11-02,26.2166666667,Milwaukee Bucks,Brooklyn Nets,3,48-48,-2,hook shot,False,7,False,False
2006-11-02,26.75,Milwaukee Bucks,Brooklyn Nets,3,48-48,-2,tip shot,False,0,False,False
2006-11-02,44.5333333333,Milwaukee Bucks,Brooklyn Nets,4,95-85,8,hook shot,False,6,False,False
2006-11-02,46.1833333333,Milwaukee Bucks,Brooklyn Nets,4,97-85,11,free throw,False,15,True,False
2006-11-02,46.1833333333,Milwaukee Bucks,Brooklyn Nets,4,98-85,12,free throw,False,15,True,False
2006-11-02,46.1833333333,Milwaukee Bucks,Brooklyn Nets,4,99-85,13,free throw,False,15,True,False
2006-11-02,46.1833333333,Milwaukee Bucks,Brooklyn Nets,4,100-85,14,free throw,False,15,True,False
2006-02-12,0.95,Milwaukee Bucks,Brooklyn Nets,1,2-0,0,hook shot,False,5,False,False
2006-02-12,3.3,Milwaukee Bucks,Brooklyn Nets,1,6-5,-1,hook shot,False,1,True,False
2006-02-12,6.66666666667,Milwaukee Bucks,Brooklyn Nets,1,11-14,-5,layup,False,0,False,False
2006-02-12,8.35,Milwaukee Bucks,Brooklyn Nets,1,13-19,-8,two point jumper,False,19,False,False
2006-02-12,10.9666666667,Milwaukee Bucks,Brooklyn Nets,1,19-23,-6,hook shot,False,1,False,False
2006-02-12,19.6666666667,Milwaukee Bucks,Brooklyn Nets,2,34-43,-11,hook shot,False,9,True,False
2006-02-12,23.55,Milwaukee Bucks,Brooklyn Nets,2,43-52,-11,dunk,False,0,True,False
2006-02-12,27.75,Milwaukee Bucks,Brooklyn Nets,3,46-55,-11,hook shot,False,8,False,False
2006-02-12,41.25,Milwaukee Bucks,Brooklyn Nets,4,67-81,-16,hook shot,False,4,True,False
2006-02-21,1.31666666667,Milwaukee Bucks,Brooklyn Nets,1,2-4,0,hook shot,True,4,True,False
2006-02-21,20.6833333333,Milwaukee Bucks,Brooklyn Nets,2,28-34,4,hook shot,True,4,False,False
2006-02-21,22.0833333333,Milwaukee Bucks,Brooklyn Nets,2,30-36,4,layup,True,0,False,False
2006-02-21,23.3666666667,Milwaukee Bucks,Brooklyn Nets,2,34-43,7,layup,True,0,True,False
2006-02-21,26.8333333333,Milwaukee Bucks,Brooklyn Nets,3,40-49,7,two point shot,True,1,True,False
2006-02-21,29.2,Milwaukee Bucks,Brooklyn Nets,3,47-54,6,free throw,True,15,True,False
2006-02-21,29.2,Milwaukee Bucks,Brooklyn Nets,3,47-55,7,free throw,True,15,True,False
2006-02-21,42.9833333333,Milwaukee Bucks,Brooklyn Nets,4,77-81,2,hook shot,True,1,True,False
2006-04-09,4.7,Milwaukee Bucks,Brooklyn Nets,1,8-6,-4,hook shot,True,3,True,False
2006-04-09,28.1333333333,Milwaukee Bucks,Brooklyn Nets,3,56-48,-10,layup,True,0,False,False
2006-12-12,0.266666666667,Milwaukee Bucks,New York Knicks,1,0-0,-2,two point jumper,False,7,False,False
2006-12-12,7.06666666667,Milwaukee Bucks,New York Knicks,1,10-16,-8,two point jumper,False,1,False,False
2006-12-12,7.13333333333,Milwaukee Bucks,New York Knicks,1,12-16,-6,layup,False,0,True,False
2006-12-12,22.6166666667,Milwaukee Bucks,New York Knicks,2,58-44,12,layup,False,0,True,False
2006-12-12,23.25,Milwaukee Bucks,New York Knicks,2,59-47,11,free throw,False,15,True,False
2006-12-12,23.25,Milwaukee Bucks,New York Knicks,2,60-47,12,free throw,False,15,True,False
2006-12-12,23.9666666667,Milwaukee Bucks,New York Knicks,2,61-49,11,free throw,False,15,True,False
2006-12-12,23.9666666667,Milwaukee Bucks,New York Knicks,2,61-49,11,free throw,False,15,False,False
2006-12-12,29.1666666667,Milwaukee Bucks,New York Knicks,3,71-61,8,two point shot,False,7,True,False
2006-12-12,31.1666666667,Milwaukee Bucks,New York Knicks,3,78-65,12,free throw,False,15,True,False
2006-12-12,31.1666666667,Milwaukee Bucks,New York Knicks,3,79-65,13,free throw,False,15,True,False
2006-12-12,43.7833333333,Milwaukee Bucks,New York Knicks,4,104-84,19,free throw,False,15,False,False
2006-12-30,3.38333333333,Milwaukee Bucks,New York Knicks,1,9-6,-5,two point jumper,True,13,True,True
2006-12-30,3.95,Milwaukee Bucks,New York Knicks,1,11-7,-5,free throw,True,15,True,True
2006-12-30,3.95,Milwaukee Bucks,New York Knicks,1,11-7,-5,free throw,True,15,False,True
2006-12-30,15.3333333333,Milwaukee Bucks,New York Knicks,2,35-35,-2,hook shot,True,1,True,True
2006-12-30,21.5166666667,Milwaukee Bucks,New York Knicks,2,48-45,-4,free throw,True,15,False,True
2006-12-30,21.5166666667,Milwaukee Bucks,New York Knicks,2,48-45,-4,free throw,True,15,False,True
2006-12-30,27.0,Milwaukee Bucks,New York Knicks,3,61-63,0,dunk,True,0,True,True
2006-12-30,27.75,Milwaukee Bucks,New York Knicks,3,63-63,-2,hook shot,True,1,False,True
2006-12-30,28.4166666667,Milwaukee Bucks,New York Knicks,3,63-64,0,free throw,True,15,True,True
2006-12-30,28.4166666667,Milwaukee Bucks,New York Knicks,3,63-64,0,free throw,True,15,False,True
2006-12-30,29.2333333333,Milwaukee Bucks,New York Knicks,3,63-66,1,hook shot,True,3,True,True
2006-12-30,32.7333333333,Milwaukee Bucks,New York Knicks,3,76-73,-5,dunk,True,0,True,True
2006-12-30,33.9666666667,Milwaukee Bucks,New York Knicks,3,76-75,-2,free throw,True,15,False,True
2006-12-30,33.9666666667,Milwaukee Bucks,New York Knicks,3,76-75,-2,free throw,True,15,False,True
2006-12-30,42.95,Milwaukee Bucks,New York Knicks,4,89-94,4,free throw,True,15,False,True
2006-12-30,42.95,Milwaukee Bucks,New York Knicks,4,89-95,5,free throw,True,15,True,True
2006-12-30,46.5166666667,Milwaukee Bucks,New York Knicks,4,98-104,5,free throw,True,15,True,True
2006-12-30,46.5166666667,Milwaukee Bucks,New York Knicks,4,98-105,6,free throw,True,15,True,True
2006-03-04,0.766666666667,Milwaukee Bucks,New York Knicks,1,2-2,-2,hook shot,True,1,True,True
2006-03-04,2.01666666667,Milwaukee Bucks,New York Knicks,1,5-4,-3,hook shot,True,7,False,True
2006-03-04,2.8,Milwaukee Bucks,New York Knicks,1,7-4,-5,hook shot,True,7,False,True
2006-03-04,4.38333333333,Milwaukee Bucks,New York Knicks,1,11-4,-8,free throw,True,15,False,True
2006-03-04,4.38333333333,Milwaukee Bucks,New York Knicks,1,11-4,-8,free throw,True,15,False,True
2006-03-04,13.0666666667,Milwaukee Bucks,New York Knicks,2,38-26,-14,hook shot,True,1,True,True
2006-03-04,15.25,Milwaukee Bucks,New York Knicks,2,41-32,-11,hook shot,True,4,True,True
2006-03-04,16.6,Milwaukee Bucks,New York Knicks,2,43-36,-9,dunk,True,0,True,True
2006-03-04,19.4166666667,Milwaukee Bucks,New York Knicks,2,49-41,-10,dunk,True,0,True,True
2006-03-04,20.5333333333,Milwaukee Bucks,New York Knicks,2,51-43,-10,layup,True,0,False,True
2006-03-04,24.8333333333,Milwaukee Bucks,New York Knicks,3,64-50,-16,hook shot,True,1,True,True
2006-03-04,44.6833333333,Milwaukee Bucks,New York Knicks,4,93-89,-5,free throw,True,15,True,True
2006-03-04,44.6833333333,Milwaukee Bucks,New York Knicks,4,93-90,-4,free throw,True,15,True,True
2006-04-14,6.13333333333,Milwaukee Bucks,New York Knicks,1,20-9,9,two point jumper,False,15,False,True
2006-04-14,9.61666666667,Milwaukee Bucks,New York Knicks,1,24-13,10,free throw,False,15,True,True
2006-04-14,9.61666666667,Milwaukee Bucks,New York Knicks,1,25-13,11,free throw,False,15,True,True
2006-04-14,24.5666666667,Milwaukee Bucks,New York Knicks,3,51-43,6,two point jumper,False,6,False,True
2006-04-14,28.6666666667,Milwaukee Bucks,New York Knicks,3,62-46,14,hook shot,False,10,True,True
2006-11-01,3.2,Milwaukee Bucks,Philadelphia 76ers,1,7-11,-6,layup,False,0,True,True
2006-11-01,18.35,Milwaukee Bucks,Philadelphia 76ers,2,39-44,-7,two point jumper,False,11,False,True
2006-11-01,41.1666666667,Milwaukee Bucks,Philadelphia 76ers,4,87-90,-5,dunk,False,0,True,True
2006-11-01,42.9166666667,Milwaukee Bucks,Philadelphia 76ers,4,89-95,-8,two point jumper,False,16,False,True
2006-11-23,0.616666666667,Milwaukee Bucks,Philadelphia 76ers,1,2-0,-3,free throw,True,15,False,False
2006-11-23,0.616666666667,Milwaukee Bucks,Philadelphia 76ers,1,2-0,-3,free throw,True,15,False,False
2006-11-23,2.26666666667,Milwaukee Bucks,Philadelphia 76ers,1,6-0,-7,free throw,True,15,False,False
2006-11-23,2.26666666667,Milwaukee Bucks,Philadelphia 76ers,1,6-1,-6,free throw,True,15,True,False
2006-11-23,2.68333333333,Milwaukee Bucks,Philadelphia 76ers,1,6-3,-5,tip shot,True,0,True,False
2006-11-23,12.65,Milwaukee Bucks,Philadelphia 76ers,2,23-23,-1,free throw,True,15,True,False
2006-11-23,12.65,Milwaukee Bucks,Philadelphia 76ers,2,23-24,0,free throw,True,15,True,False
2006-11-23,13.2166666667,Milwaukee Bucks,Philadelphia 76ers,2,25-26,-1,dunk,True,0,True,False
2006-11-23,19.6666666667,Milwaukee Bucks,Philadelphia 76ers,2,44-38,-8,dunk,True,0,True,False
2006-11-23,19.6666666667,Milwaukee Bucks,Philadelphia 76ers,2,44-38,-7,free throw,True,15,False,False
2006-11-23,20.6833333333,Milwaukee Bucks,Philadelphia 76ers,2,49-39,-11,free throw,True,15,True,False
2006-11-23,20.6833333333,Milwaukee Bucks,Philadelphia 76ers,2,49-40,-10,free throw,True,15,True,False
2006-11-23,22.85,Milwaukee Bucks,Philadelphia 76ers,2,55-47,-10,layup,True,0,False,False
2006-11-23,37.4666666667,Milwaukee Bucks,Philadelphia 76ers,4,62-53,-11,hook shot,True,8,False,False
2006-11-23,10.65,Milwaukee Bucks,Philadelphia 76ers,5,79-80,0,free throw,True,15,False,False
2006-11-23,10.65,Milwaukee Bucks,Philadelphia 76ers,5,79-80,0,free throw,True,15,False,False
2006-11-23,11.2166666667,Milwaukee Bucks,Philadelphia 76ers,5,80-80,-1,free throw,True,15,False,False
2006-11-23,11.2166666667,Milwaukee Bucks,Philadelphia 76ers,5,80-80,-1,free throw,True,15,False,False
2006-11-23,11.9666666667,Milwaukee Bucks,Philadelphia 76ers,5,80-80,-2,hook shot,True,9,False,False
2006-12-07,0.316666666667,Milwaukee Bucks,Philadelphia 76ers,1,0-0,-2,hook shot,False,4,False,True
2006-12-07,6.25,Milwaukee Bucks,Philadelphia 76ers,1,9-9,-2,two point shot,False,1,True,True
2006-12-07,11.5333333333,Milwaukee Bucks,Philadelphia 76ers,1,18-17,0,free throw,False,15,True,True
2006-12-07,11.5333333333,Milwaukee Bucks,Philadelphia 76ers,1,18-17,0,free throw,False,15,False,True
2006-12-07,22.6833333333,Milwaukee Bucks,Philadelphia 76ers,2,52-35,15,two point jumper,False,17,True,True
2006-12-07,23.5666666667,Milwaukee Bucks,Philadelphia 76ers,2,54-37,15,two point shot,False,3,True,True
2006-02-24,0.816666666667,Milwaukee Bucks,Philadelphia 76ers,1,2-0,-3,free throw,True,15,False,False
2006-02-24,0.816666666667,Milwaukee Bucks,Philadelphia 76ers,1,2-1,-2,free throw,True,15,True,False
2006-02-24,2.86666666667,Milwaukee Bucks,Philadelphia 76ers,1,8-8,-1,free throw,True,15,True,False
2006-02-24,2.86666666667,Milwaukee Bucks,Philadelphia 76ers,1,8-9,0,free throw,True,15,True,False
2006-02-24,15.9333333333,Milwaukee Bucks,Philadelphia 76ers,2,40-38,-4,tip shot,True,0,True,False
2006-02-24,16.3833333333,Milwaukee Bucks,Philadelphia 76ers,2,43-40,-5,hook shot,True,3,True,False
2006-02-24,24.4333333333,Milwaukee Bucks,Philadelphia 76ers,3,64-52,-14,two point jumper,True,12,False,False
2006-02-24,28.6666666667,Milwaukee Bucks,Philadelphia 76ers,3,70-60,-12,hook shot,True,1,False,False
2006-02-24,29.8833333333,Milwaukee Bucks,Philadelphia 76ers,3,72-62,-12,layup,True,0,False,False
2006-02-24,37.0833333333,Milwaukee Bucks,Philadelphia 76ers,4,94-82,-14,hook shot,True,3,True,False
2006-02-24,39.1333333333,Milwaukee Bucks,Philadelphia 76ers,4,98-82,-18,hook shot,True,5,False,False
2006-01-27,5.35,Milwaukee Bucks,Toronto Raptors,1,9-13,2,layup,True,0,False,False
2006-01-27,8.46666666667,Milwaukee Bucks,Toronto Raptors,1,17-21,2,hook shot,True,1,True,False
2006-01-27,11.15,Milwaukee Bucks,Toronto Raptors,1,23-27,2,layup,True,0,True,False
2006-01-27,11.15,Milwaukee Bucks,Toronto Raptors,1,23-27,3,free throw,True,15,False,False
2006-01-27,22.75,Milwaukee Bucks,Toronto Raptors,2,39-52,11,tip shot,True,0,True,False
2006-01-27,27.5,Milwaukee Bucks,Toronto Raptors,3,44-61,15,layup,True,0,True,False
2006-01-27,28.7333333333,Milwaukee Bucks,Toronto Raptors,3,44-65,19,layup,True,0,True,False
2006-01-27,31.3833333333,Milwaukee Bucks,Toronto Raptors,3,48-70,20,tip shot,True,0,True,False
2006-01-27,33.65,Milwaukee Bucks,Toronto Raptors,3,51-74,22,free throw,True,15,False,False
2006-01-27,33.65,Milwaukee Bucks,Toronto Raptors,3,51-75,23,free throw,True,15,True,False
2006-01-27,37.6166666667,Milwaukee Bucks,Toronto Raptors,4,60-81,19,hook shot,True,5,False,False
2006-03-17,0.4,Milwaukee Bucks,Toronto Raptors,1,2-0,0,two point shot,False,1,True,False
2006-03-17,3.3,Milwaukee Bucks,Toronto Raptors,1,9-2,6,free throw,False,15,False,False
2006-03-17,3.3,Milwaukee Bucks,Toronto Raptors,1,10-2,7,free throw,False,15,True,False
2006-03-17,3.8,Milwaukee Bucks,Toronto Raptors,1,10-6,2,two point shot,False,1,False,False
2006-03-17,8.08333333333,Milwaukee Bucks,Toronto Raptors,1,15-14,0,free throw,False,15,True,False
2006-03-17,8.08333333333,Milwaukee Bucks,Toronto Raptors,1,15-14,0,free throw,False,15,False,False
2006-03-17,20.05,Milwaukee Bucks,Toronto Raptors,2,41-39,1,free throw,False,15,True,False
2006-03-17,20.05,Milwaukee Bucks,Toronto Raptors,2,41-39,1,free throw,False,15,False,False
2006-03-17,21.25,Milwaukee Bucks,Toronto Raptors,2,41-41,-2,hook shot,False,8,False,False
2006-03-17,21.9833333333,Milwaukee Bucks,Toronto Raptors,2,45-41,2,two point shot,False,1,True,False
2006-03-17,22.9666666667,Milwaukee Bucks,Toronto Raptors,2,47-41,4,layup,False,0,True,False
2006-03-17,26.2,Milwaukee Bucks,Toronto Raptors,3,49-50,-2,free throw,False,15,False,False
2006-03-17,26.2,Milwaukee Bucks,Toronto Raptors,3,50-50,-1,free throw,False,15,True,False
2006-03-17,32.0666666667,Milwaukee Bucks,Toronto Raptors,3,70-61,7,layup,False,0,True,False
2006-03-17,32.0666666667,Milwaukee Bucks,Toronto Raptors,3,70-61,8,free throw,False,15,False,False
2006-03-17,32.5833333333,Milwaukee Bucks,Toronto Raptors,3,70-63,5,two point shot,False,7,False,False
2006-03-17,46.0,Milwaukee Bucks,Toronto Raptors,4,94-88,5,free throw,False,15,False,False
2006-03-17,46.0,Milwaukee Bucks,Toronto Raptors,4,94-88,5,free throw,False,15,False,False
2006-03-26,2.31666666667,Milwaukee Bucks,Toronto Raptors,1,4-6,1,free throw,True,15,True,True
2006-03-26,17.7833333333,Milwaukee Bucks,Toronto Raptors,2,32-41,7,dunk,True,0,True,True
2006-03-26,20.35,Milwaukee Bucks,Toronto Raptors,2,39-45,4,layup,True,0,False,True
2006-03-26,20.8166666667,Milwaukee Bucks,Toronto Raptors,2,41-45,2,two point jumper,True,1,False,True
2006-03-26,21.3333333333,Milwaukee Bucks,Toronto Raptors,2,43-46,1,hook shot,True,8,False,True
2006-11-08,0.616666666667,Milwaukee Bucks,Golden State Warriors,1,3-2,-3,layup,True,0,True,False
2006-11-08,3.36666666667,Milwaukee Bucks,Golden State Warriors,1,7-7,-2,two point jumper,True,4,False,False
2006-11-08,4.85,Milwaukee Bucks,Golden State Warriors,1,11-12,-1,hook shot,True,8,True,False
2006-11-08,6.98333333333,Milwaukee Bucks,Golden State Warriors,1,15-17,0,two point jumper,True,7,False,False
2006-11-08,19.0333333333,Milwaukee Bucks,Golden State Warriors,2,41-40,-3,layup,True,0,False,False
2006-11-08,25.7666666667,Milwaukee Bucks,Golden State Warriors,3,57-57,-2,two point jumper,True,12,True,False
2006-11-08,26.7166666667,Milwaukee Bucks,Golden State Warriors,3,59-57,-4,layup,True,0,False,False
2006-11-08,29.75,Milwaukee Bucks,Golden State Warriors,3,65-59,-8,tip shot,True,0,False,False
2006-11-08,30.2333333333,Milwaukee Bucks,Golden State Warriors,3,68-59,-11,two point jumper,True,8,False,False
2006-11-08,43.2,Milwaukee Bucks,Golden State Warriors,4,96-89,-9,layup,True,0,True,False
2006-11-08,44.85,Milwaukee Bucks,Golden State Warriors,4,96-94,-3,free throw,True,15,False,False
2006-11-08,44.85,Milwaukee Bucks,Golden State Warriors,4,96-94,-3,free throw,True,15,False,False
2006-11-08,45.1666666667,Milwaukee Bucks,Golden State Warriors,4,96-94,-4,hook shot,True,1,False,False
2006-11-08,47.75,Milwaukee Bucks,Golden State Warriors,4,105-103,-4,layup,True,0,True,False
2006-11-16,6.45,Milwaukee Bucks,Golden State Warriors,1,15-12,1,two point shot,False,5,False,True
2006-11-16,18.2166666667,Milwaukee Bucks,Golden State Warriors,2,34-38,-6,two point shot,False,4,False,True
2006-11-16,20.5166666667,Milwaukee Bucks,Golden State Warriors,2,43-42,-1,dunk,False,0,True,True
2006-11-16,22.0,Milwaukee Bucks,Golden State Warriors,2,46-43,2,free throw,False,15,True,True
2006-11-16,22.0,Milwaukee Bucks,Golden State Warriors,2,46-43,2,free throw,False,15,False,True
2006-11-16,24.0,Milwaukee Bucks,Golden State Warriors,2,48-45,1,two point shot,False,5,False,True
2006-11-16,25.45,Milwaukee Bucks,Golden State Warriors,3,51-45,4,two point shot,False,1,False,True
2006-11-16,28.3833333333,Milwaukee Bucks,Golden State Warriors,3,55-50,3,two point shot,False,4,True,True
2006-11-16,29.6333333333,Milwaukee Bucks,Golden State Warriors,3,57-50,5,two point shot,False,1,True,True
2006-11-15,0.9,Milwaukee Bucks,Los Angeles Clippers,1,0-1,-3,two point jumper,False,14,False,True
2006-11-15,3.55,Milwaukee Bucks,Los Angeles Clippers,1,2-8,-8,two point jumper,False,6,False,True
2006-11-15,30.85,Milwaukee Bucks,Los Angeles Clippers,3,32-41,-11,layup,False,0,False,True
2006-11-15,32.2666666667,Milwaukee Bucks,Los Angeles Clippers,3,36-46,-12,two point jumper,False,6,False,True
2006-03-11,2.81666666667,Milwaukee Bucks,Los Angeles Clippers,1,4-2,-4,two point jumper,True,17,True,True
2006-03-11,4.28333333333,Milwaukee Bucks,Los Angeles Clippers,1,8-2,-8,hook shot,True,5,False,True
2006-03-11,7.35,Milwaukee Bucks,Los Angeles Clippers,1,20-12,-10,hook shot,True,1,True,True
2006-03-11,9.33333333333,Milwaukee Bucks,Los Angeles Clippers,1,22-17,-7,layup,True,0,True,True
2006-03-11,10.0833333333,Milwaukee Bucks,Los Angeles Clippers,1,22-18,-5,free throw,True,15,True,True
2006-03-11,10.0833333333,Milwaukee Bucks,Los Angeles Clippers,1,22-18,-5,free throw,True,15,False,True
2006-03-11,18.2166666667,Milwaukee Bucks,Los Angeles Clippers,2,42-26,-18,hook shot,True,3,True,True
2006-03-11,27.7166666667,Milwaukee Bucks,Los Angeles Clippers,3,58-49,-11,hook shot,True,1,False,True
2006-03-11,29.1666666667,Milwaukee Bucks,Los Angeles Clippers,3,64-52,-13,free throw,True,15,False,True
2006-03-11,29.1666666667,Milwaukee Bucks,Los Angeles Clippers,3,64-53,-12,free throw,True,15,True,True
2006-03-11,30.9166666667,Milwaukee Bucks,Los Angeles Clippers,3,68-58,-11,free throw,True,15,True,True
2006-03-11,30.9166666667,Milwaukee Bucks,Los Angeles Clippers,3,68-59,-10,free throw,True,15,True,True
2006-03-11,38.7166666667,Milwaukee Bucks,Los Angeles Clippers,4,80-78,-3,free throw,True,15,False,True
2006-03-11,38.7166666667,Milwaukee Bucks,Los Angeles Clippers,4,80-79,-2,free throw,True,15,True,True
2006-12-06,1.83333333333,Milwaukee Bucks,Los Angeles Lakers,1,2-4,0,hook shot,True,1,True,True
2006-12-06,3.2,Milwaukee Bucks,Los Angeles Lakers,1,6-8,1,free throw,True,15,False,True
2006-12-06,3.2,Milwaukee Bucks,Los Angeles Lakers,1,6-9,2,free throw,True,15,True,True
2006-12-06,4.53333333333,Milwaukee Bucks,Los Angeles Lakers,1,10-11,-1,dunk,True,0,True,True
2006-12-06,10.5333333333,Milwaukee Bucks,Los Angeles Lakers,1,29-19,-12,hook shot,True,1,False,True
2006-12-06,27.0,Milwaukee Bucks,Los Angeles Lakers,3,65-59,-8,layup,True,0,True,True
2006-03-24,0.516666666667,Milwaukee Bucks,Los Angeles Lakers,1,2-0,0,two point jumper,False,1,True,True
2006-03-24,0.816666666667,Milwaukee Bucks,Los Angeles Lakers,1,3-3,-1,free throw,False,15,True,True
2006-03-24,0.816666666667,Milwaukee Bucks,Los Angeles Lakers,1,3-3,-1,free throw,False,15,False,True
2006-03-24,4.6,Milwaukee Bucks,Los Angeles Lakers,1,7-16,-11,layup,False,0,False,True
2006-03-24,5.63333333333,Milwaukee Bucks,Los Angeles Lakers,1,9-19,-12,layup,False,0,False,True
2006-03-24,6.95,Milwaukee Bucks,Los Angeles Lakers,1,13-19,-8,layup,False,0,True,True
2006-03-24,24.3666666667,Milwaukee Bucks,Los Angeles Lakers,3,57-53,2,two point jumper,False,4,False,True
2006-03-24,31.1,Milwaukee Bucks,Los Angeles Lakers,3,68-66,0,layup,False,0,False,True
2006-03-01,0.716666666667,Milwaukee Bucks,Phoenix Suns,1,2-2,-2,two point shot,False,7,True,False
2006-03-01,2.0,Milwaukee Bucks,Phoenix Suns,1,2-6,-6,layup,False,0,False,False
2006-03-01,4.95,Milwaukee Bucks,Phoenix Suns,1,11-10,-1,dunk,False,0,True,False
2006-03-01,19.4833333333,Milwaukee Bucks,Phoenix Suns,2,34-52,-19,free throw,False,15,True,False
2006-03-01,19.4833333333,Milwaukee Bucks,Phoenix Suns,2,35-52,-18,free throw,False,15,True,False
2006-03-01,24.2,Milwaukee Bucks,Phoenix Suns,3,50-62,-14,hook shot,False,6,False,False
2006-03-01,25.5,Milwaukee Bucks,Phoenix Suns,3,55-67,-13,free throw,False,15,True,False
2006-03-01,25.5,Milwaukee Bucks,Phoenix Suns,3,56-67,-12,free throw,False,15,True,False
2006-03-01,40.8833333333,Milwaukee Bucks,Phoenix Suns,4,92-104,-14,two point jumper,False,15,False,False
2006-03-28,3.38333333333,Milwaukee Bucks,Phoenix Suns,1,9-7,-4,two point shot,True,1,True,True
2006-03-28,3.75,Milwaukee Bucks,Phoenix Suns,1,9-7,-3,free throw,True,15,False,True
2006-03-28,3.75,Milwaukee Bucks,Phoenix Suns,1,9-8,-2,free throw,True,15,True,True
2006-03-28,28.2333333333,Milwaukee Bucks,Phoenix Suns,3,72-72,-2,layup,True,0,True,True
2006-11-18,0.683333333333,Milwaukee Bucks,Sacramento Kings,1,0-0,-2,two point jumper,False,5,False,True
2006-11-18,2.05,Milwaukee Bucks,Sacramento Kings,1,0-6,-8,two point jumper,False,7,False,True
2006-11-18,2.13333333333,Milwaukee Bucks,Sacramento Kings,1,1-6,-6,free throw,False,15,True,True
