date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2006-04-12,10.6833333333,Indiana Pacers,Boston Celtics,1,31-33,-1,three point jumper,True,23,False,True
2006-04-12,11.75,Indiana Pacers,Boston Celtics,1,33-38,2,three point jumper,True,25,True,True
2006-04-12,12.0,Indiana Pacers,Boston Celtics,1,35-38,0,three point jumper,True,40,False,True
2006-04-12,14.3166666667,Indiana Pacers,Boston Celtics,2,39-43,2,two point jumper,True,9,False,True
2006-04-12,14.7666666667,Indiana Pacers,Boston Celtics,2,41-43,1,free throw,True,15,False,True
2006-04-12,14.7666666667,Indiana Pacers,Boston Celtics,2,41-43,1,free throw,True,15,False,True
2006-04-12,22.7333333333,Indiana Pacers,Boston Celtics,2,58-61,0,three point jumper,True,23,True,True
2006-04-12,23.2166666667,Indiana Pacers,Boston Celtics,2,61-61,-3,three point jumper,True,26,False,True
2006-04-12,34.75,Indiana Pacers,Boston Celtics,3,82-90,7,free throw,True,15,True,True
2006-04-12,34.75,Indiana Pacers,Boston Celtics,3,82-91,8,free throw,True,15,True,True
2006-04-12,37.5,Indiana Pacers,Boston Celtics,4,89-99,7,three point jumper,True,24,True,True
2006-04-12,39.9333333333,Indiana Pacers,Boston Celtics,4,91-106,13,dunk,True,0,True,True
2006-04-12,40.5333333333,Indiana Pacers,Boston Celtics,4,91-106,12,three point jumper,True,25,False,True
2006-04-12,41.1,Indiana Pacers,Boston Celtics,4,94-108,12,layup,True,0,True,True
2006-04-12,43.35,Indiana Pacers,Boston Celtics,4,99-113,11,three point jumper,True,25,True,True
2006-04-12,44.5333333333,Indiana Pacers,Boston Celtics,4,103-115,10,two point jumper,True,17,True,True
2006-11-11,2.61666666667,Indiana Pacers,Brooklyn Nets,1,5-2,-5,two point jumper,True,21,False,False
2006-11-11,26.8666666667,Indiana Pacers,Brooklyn Nets,3,41-61,18,two point jumper,True,16,True,False
2006-11-11,28.4833333333,Indiana Pacers,Brooklyn Nets,3,43-66,20,three point jumper,True,24,True,False
2006-11-11,37.0666666667,Indiana Pacers,Brooklyn Nets,4,61-88,24,three point jumper,True,24,False,False
2006-01-16,0.633333333333,Indiana Pacers,Brooklyn Nets,1,3-0,0,three point jumper,False,27,True,False
2006-01-16,2.88333333333,Indiana Pacers,Brooklyn Nets,1,8-4,1,three point jumper,False,27,True,False
2006-01-16,6.06666666667,Indiana Pacers,Brooklyn Nets,1,10-14,-7,three point jumper,False,26,False,False
2006-01-16,13.1833333333,Indiana Pacers,Brooklyn Nets,2,20-31,-12,free throw,False,15,True,False
2006-01-16,13.1833333333,Indiana Pacers,Brooklyn Nets,2,21-31,-11,free throw,False,15,True,False
2006-01-16,15.3166666667,Indiana Pacers,Brooklyn Nets,2,29-37,-10,layup,False,0,True,False
2006-01-16,26.55,Indiana Pacers,Brooklyn Nets,3,50-60,-12,two point jumper,False,14,True,False
2006-01-16,30.7833333333,Indiana Pacers,Brooklyn Nets,3,56-65,-11,two point shot,False,1,True,False
2006-01-16,41.8166666667,Indiana Pacers,Brooklyn Nets,4,75-83,-11,three point jumper,False,27,False,False
2006-01-16,43.75,Indiana Pacers,Brooklyn Nets,4,76-87,-12,free throw,False,15,True,False
2006-01-16,46.0,Indiana Pacers,Brooklyn Nets,4,83-91,-10,layup,False,0,True,False
2006-01-16,47.8,Indiana Pacers,Brooklyn Nets,4,89-95,-9,three point jumper,False,23,False,False
2006-12-17,0.833333333333,Indiana Pacers,New York Knicks,1,2-0,0,two point jumper,False,20,True,False
2006-12-17,17.85,Indiana Pacers,New York Knicks,2,31-30,-1,layup,False,0,False,False
2006-12-17,17.9166666667,Indiana Pacers,New York Knicks,2,33-30,1,tip shot,False,0,True,False
2006-12-17,18.6666666667,Indiana Pacers,New York Knicks,2,33-32,-1,two point jumper,False,21,False,False
2006-12-17,19.6,Indiana Pacers,New York Knicks,2,34-34,-1,free throw,False,15,True,False
2006-12-17,19.6,Indiana Pacers,New York Knicks,2,35-34,0,free throw,False,15,True,False
2006-12-17,25.0,Indiana Pacers,New York Knicks,3,44-46,-4,two point jumper,False,16,False,False
2006-12-17,25.4666666667,Indiana Pacers,New York Knicks,3,45-46,-2,free throw,False,15,True,False
2006-12-17,25.8833333333,Indiana Pacers,New York Knicks,3,47-46,-1,two point shot,False,1,True,False
2006-12-17,27.1333333333,Indiana Pacers,New York Knicks,3,50-48,-1,three point jumper,False,26,False,False
2006-12-17,47.75,Indiana Pacers,New York Knicks,4,101-94,5,layup,False,0,True,False
2006-04-10,7.6,Indiana Pacers,New York Knicks,1,14-14,-2,two point jumper,True,9,True,False
2006-04-10,11.1,Indiana Pacers,New York Knicks,1,22-24,0,two point shot,True,2,True,False
2006-04-10,12.55,Indiana Pacers,New York Knicks,2,26-24,-5,three point jumper,True,25,False,False
2006-04-10,13.5166666667,Indiana Pacers,New York Knicks,2,28-29,-2,three point jumper,True,23,True,False
2006-04-10,22.0333333333,Indiana Pacers,New York Knicks,2,43-42,-4,three point jumper,True,25,False,False
2006-04-10,35.1166666667,Indiana Pacers,New York Knicks,3,62-72,8,two point jumper,True,19,True,False
2006-04-10,37.2,Indiana Pacers,New York Knicks,4,62-74,9,three point jumper,True,26,False,False
2006-04-10,39.3,Indiana Pacers,New York Knicks,4,64-81,14,three point jumper,True,24,True,False
2006-04-10,46.2333333333,Indiana Pacers,New York Knicks,4,76-98,20,dunk,True,0,True,False
2006-04-10,46.6833333333,Indiana Pacers,New York Knicks,4,76-101,22,three point jumper,True,26,True,False
2006-11-05,1.15,Indiana Pacers,Philadelphia 76ers,1,2-6,2,two point jumper,True,22,True,False
2006-11-05,8.11666666667,Indiana Pacers,Philadelphia 76ers,1,20-21,-2,three point jumper,True,24,False,False
2006-11-05,16.85,Indiana Pacers,Philadelphia 76ers,2,37-35,-3,free throw,True,15,True,False
2006-11-05,22.7166666667,Indiana Pacers,Philadelphia 76ers,2,55-46,-11,two point jumper,True,21,True,False
2006-11-05,36.6166666667,Indiana Pacers,Philadelphia 76ers,4,60-52,-11,three point jumper,True,26,False,False
2006-11-05,37.2166666667,Indiana Pacers,Philadelphia 76ers,4,62-54,-10,two point jumper,True,19,True,False
2006-11-05,42.4166666667,Indiana Pacers,Philadelphia 76ers,4,78-64,-17,three point jumper,True,26,True,False
2006-11-05,45.7666666667,Indiana Pacers,Philadelphia 76ers,4,89-72,-20,three point jumper,True,26,False,False
2006-11-05,13.3333333333,Indiana Pacers,Philadelphia 76ers,5,91-87,-6,two point shot,True,5,True,False
2006-11-05,17.4666666667,Indiana Pacers,Philadelphia 76ers,5,99-95,-6,two point jumper,True,20,False,False
2006-11-05,20.5833333333,Indiana Pacers,Philadelphia 76ers,5,107-102,-8,three point jumper,True,25,False,False
2006-12-30,3.0,Indiana Pacers,Toronto Raptors,1,0-7,4,three point jumper,True,25,True,False
2006-12-30,5.95,Indiana Pacers,Toronto Raptors,1,6-14,5,three point jumper,True,25,False,False
2006-12-30,6.48333333333,Indiana Pacers,Toronto Raptors,1,8-14,4,two point jumper,True,17,False,False
2006-12-30,6.56666666667,Indiana Pacers,Toronto Raptors,1,8-15,6,free throw,True,15,True,False
2006-12-30,6.56666666667,Indiana Pacers,Toronto Raptors,1,8-16,7,free throw,True,15,True,False
2006-12-30,14.9333333333,Indiana Pacers,Toronto Raptors,2,28-36,5,three point jumper,True,26,False,False
2006-12-30,36.3833333333,Indiana Pacers,Toronto Raptors,4,68-77,7,layup,True,0,False,False
2006-12-30,47.9666666667,Indiana Pacers,Toronto Raptors,4,99-97,-3,free throw,True,15,True,False
2006-12-30,47.9666666667,Indiana Pacers,Toronto Raptors,4,99-97,-3,free throw,True,15,False,False
2006-04-05,8.68333333333,Indiana Pacers,Toronto Raptors,1,16-22,4,two point jumper,True,17,False,True
2006-04-05,11.7333333333,Indiana Pacers,Toronto Raptors,1,19-29,8,two point jumper,True,20,False,True
2006-04-05,35.95,Indiana Pacers,Toronto Raptors,3,81-86,2,three point jumper,True,25,False,True
2006-04-05,38.0,Indiana Pacers,Toronto Raptors,4,83-90,5,two point jumper,True,1,True,True
2006-04-05,38.8,Indiana Pacers,Toronto Raptors,4,86-91,4,free throw,True,15,True,True
2006-04-05,38.8,Indiana Pacers,Toronto Raptors,4,86-92,5,free throw,True,15,True,True
2006-04-17,11.5,Indiana Pacers,Toronto Raptors,1,40-29,8,three point jumper,False,25,True,False
2006-01-05,5.25,Indiana Pacers,Golden State Warriors,1,16-7,6,three point jumper,False,26,True,True
2006-01-05,9.0,Indiana Pacers,Golden State Warriors,1,24-11,10,three point jumper,False,27,True,True
2006-01-05,9.6,Indiana Pacers,Golden State Warriors,1,24-12,10,two point jumper,False,21,False,True
2006-01-05,17.1666666667,Indiana Pacers,Golden State Warriors,2,40-22,15,three point jumper,False,26,False,True
2006-01-05,17.95,Indiana Pacers,Golden State Warriors,2,40-25,13,two point jumper,False,19,False,True
2006-01-05,21.15,Indiana Pacers,Golden State Warriors,2,50-32,17,free throw,False,15,True,True
2006-01-05,21.15,Indiana Pacers,Golden State Warriors,2,51-32,18,free throw,False,15,True,True
2006-01-05,27.3333333333,Indiana Pacers,Golden State Warriors,3,60-47,11,two point jumper,False,1,True,True
2006-01-05,31.0666666667,Indiana Pacers,Golden State Warriors,3,66-54,10,two point jumper,False,21,True,True
2006-01-05,31.4833333333,Indiana Pacers,Golden State Warriors,3,66-54,10,layup,False,0,False,True
2006-01-05,32.3333333333,Indiana Pacers,Golden State Warriors,3,68-58,7,three point jumper,False,26,False,True
2006-01-05,38.0666666667,Indiana Pacers,Golden State Warriors,4,78-68,7,three point jumper,False,24,True,True
2006-01-05,39.9666666667,Indiana Pacers,Golden State Warriors,4,81-72,7,two point jumper,False,20,False,True
2006-01-05,41.1,Indiana Pacers,Golden State Warriors,4,83-75,6,layup,False,0,True,True
2006-01-05,41.7,Indiana Pacers,Golden State Warriors,4,83-75,5,three point jumper,False,25,False,True
2006-11-27,15.4333333333,Indiana Pacers,Los Angeles Clippers,2,34-36,-3,free throw,False,15,True,True
2006-11-27,15.4333333333,Indiana Pacers,Los Angeles Clippers,2,35-36,-2,free throw,False,15,True,True
2006-11-27,19.3833333333,Indiana Pacers,Los Angeles Clippers,2,43-44,-2,free throw,False,15,False,True
2006-11-27,27.9,Indiana Pacers,Los Angeles Clippers,3,58-58,-3,three point jumper,False,25,True,True
2006-11-27,36.7666666667,Indiana Pacers,Los Angeles Clippers,4,79-70,7,dunk,False,0,True,True
2006-11-27,37.3833333333,Indiana Pacers,Los Angeles Clippers,4,79-70,6,three point jumper,False,25,False,True
2006-11-27,38.7,Indiana Pacers,Los Angeles Clippers,4,81-72,7,tip shot,False,0,True,True
2006-11-27,39.7,Indiana Pacers,Los Angeles Clippers,4,84-76,5,three point jumper,False,25,True,True
2006-11-27,40.8833333333,Indiana Pacers,Los Angeles Clippers,4,90-78,9,three point jumper,False,24,True,True
